"","Data","startTyg","startM","temp_min","temp_avg","temp_max","deszcz","snieg","Jaki_dzien","Miejsce","Liczba_rowerow"
"1",2017-08-24,2017-08-21,2017-08-01,10.1,15.5,20.9,0,0,"roboczy","Al. Jerozolimskie - suma",1737
"2",2017-08-25,2017-08-21,2017-08-01,11.2,17.8,23.6,0.1,0,"roboczy","Al. Jerozolimskie - suma",1579
"3",2017-08-26,2017-08-21,2017-08-01,11.9,18.6,24.1,0,0,"weekend","Al. Jerozolimskie - suma",1160
"4",2017-08-27,2017-08-21,2017-08-01,14.4,19.3,25.6,1.3,0,"weekend","Al. Jerozolimskie - suma",770
"5",2017-08-28,2017-08-28,2017-08-01,12.5,15.4,20.9,0,0,"roboczy","Al. Jerozolimskie - suma",1555
"6",2017-08-29,2017-08-28,2017-08-01,9.7,15.9,21.3,0,0,"roboczy","Al. Jerozolimskie - suma",1988
"7",2017-08-30,2017-08-28,2017-08-01,10.1,17.9,24.8,0,0,"roboczy","Al. Jerozolimskie - suma",2063
"8",2017-08-31,2017-08-28,2017-08-01,13.1,20.8,28.5,0.2,0,"roboczy","Al. Jerozolimskie - suma",2153
"9",2017-09-01,2017-08-28,2017-09-01,16.1,17.5,23.7,9.3,0,"roboczy","Al. Jerozolimskie - suma",1266
"10",2017-09-02,2017-08-28,2017-09-01,13.1,13.6,16.3,1.4,0,"weekend","Al. Jerozolimskie - suma",343
"11",2017-09-03,2017-08-28,2017-09-01,11,13.1,15.5,4.3,0,"weekend","Al. Jerozolimskie - suma",386
"12",2017-09-04,2017-09-04,2017-09-01,12.3,13.4,15.4,7.5,0,"roboczy","Al. Jerozolimskie - suma",1000
"13",2017-09-05,2017-09-04,2017-09-01,12.4,14.9,17.9,1.4,0,"roboczy","Al. Jerozolimskie - suma",927
"14",2017-09-06,2017-09-04,2017-09-01,14.3,14.9,17.2,9.4,0,"roboczy","Al. Jerozolimskie - suma",777
"15",2017-09-07,2017-09-04,2017-09-01,12.2,13.4,15.1,4.4,0,"roboczy","Al. Jerozolimskie - suma",683
"16",2017-09-08,2017-09-04,2017-09-01,11.1,14.8,19.4,0,0,"roboczy","Al. Jerozolimskie - suma",1280
"17",2017-09-09,2017-09-04,2017-09-01,12,17.5,23.7,0,0,"weekend","Al. Jerozolimskie - suma",1021
"18",2017-09-10,2017-09-04,2017-09-01,12.8,18.7,25,11.2,0,"weekend","Al. Jerozolimskie - suma",1000
"19",2017-09-11,2017-09-11,2017-09-01,14.9,18.6,23.2,13.8,0,"roboczy","Al. Jerozolimskie - suma",1120
"20",2017-09-12,2017-09-11,2017-09-01,13.1,15,20.8,2.7,0,"roboczy","Al. Jerozolimskie - suma",873
"21",2017-09-13,2017-09-11,2017-09-01,12.1,15.8,18.8,0,0,"roboczy","Al. Jerozolimskie - suma",1518
"22",2017-09-14,2017-09-11,2017-09-01,14.1,15.9,19,2.6,0,"roboczy","Al. Jerozolimskie - suma",1239
"23",2017-09-15,2017-09-11,2017-09-01,10.4,12.4,15.2,0,0,"roboczy","Al. Jerozolimskie - suma",1222
"24",2017-09-16,2017-09-11,2017-09-01,8.9,12.8,17.1,0.3,0,"weekend","Al. Jerozolimskie - suma",499
"25",2017-09-17,2017-09-11,2017-09-01,12.2,13.2,15,41.4,0,"weekend","Al. Jerozolimskie - suma",257
"26",2017-09-18,2017-09-18,2017-09-01,10.5,12.3,15.8,0.1,0,"roboczy","Al. Jerozolimskie - suma",665
"27",2017-09-19,2017-09-18,2017-09-01,4.9,12.2,17.5,0.4,0,"roboczy","Al. Jerozolimskie - suma",1365
"28",2017-09-20,2017-09-18,2017-09-01,11.4,11.9,14.3,4.3,0,"roboczy","Al. Jerozolimskie - suma",743
"29",2017-09-21,2017-09-18,2017-09-01,10.5,11.5,12.1,5.5,0,"roboczy","Al. Jerozolimskie - suma",653
"30",2017-09-22,2017-09-18,2017-09-01,11.6,13.3,15.3,4.9,0,"roboczy","Al. Jerozolimskie - suma",741
"31",2017-09-23,2017-09-18,2017-09-01,13,14.7,18.4,0.4,0,"weekend","Al. Jerozolimskie - suma",370
"32",2017-09-24,2017-09-18,2017-09-01,13.2,14.3,17.3,1.9,0,"weekend","Al. Jerozolimskie - suma",366
"33",2017-09-25,2017-09-25,2017-09-01,12.1,13.3,15.9,0,0,"roboczy","Al. Jerozolimskie - suma",1098
"34",2017-09-26,2017-09-25,2017-09-01,10.6,15,21,0,0,"roboczy","Al. Jerozolimskie - suma",1429
"35",2017-09-27,2017-09-25,2017-09-01,9.2,13.4,19.1,0,0,"roboczy","Al. Jerozolimskie - suma",1487
"36",2017-09-28,2017-09-25,2017-09-01,7.8,12.1,17.5,0,0,"roboczy","Al. Jerozolimskie - suma",1411
"37",2017-09-29,2017-09-25,2017-09-01,4.5,10.4,16,0,0,"roboczy","Al. Jerozolimskie - suma",1252
"38",2017-09-30,2017-09-25,2017-09-01,4.8,10.3,15.8,0,0,"weekend","Al. Jerozolimskie - suma",659
"39",2017-10-01,2017-09-25,2017-10-01,3.5,9.1,15,0,0,"weekend","Al. Jerozolimskie - suma",644
"40",2017-10-02,2017-10-02,2017-10-01,2.9,9.9,16.9,8.8,0,"roboczy","Al. Jerozolimskie - suma",1265
"41",2017-10-03,2017-10-02,2017-10-01,9.4,10.9,12.3,5.5,0,"roboczy","Al. Jerozolimskie - suma",459
"42",2017-10-04,2017-10-02,2017-10-01,9.8,11.5,14.1,4.3,0,"roboczy","Al. Jerozolimskie - suma",947
"43",2017-10-05,2017-10-02,2017-10-01,7.1,9.3,12,15.2,0,"roboczy","Al. Jerozolimskie - suma",519
"44",2017-10-06,2017-10-02,2017-10-01,7.6,9.2,11.8,0,0,"roboczy","Al. Jerozolimskie - suma",812
"45",2017-10-07,2017-10-02,2017-10-01,7.4,9.5,12.1,0.4,0,"weekend","Al. Jerozolimskie - suma",333
"46",2017-10-08,2017-10-02,2017-10-01,7.3,9.2,12.9,2.2,0,"weekend","Al. Jerozolimskie - suma",199
"47",2017-10-09,2017-10-09,2017-10-01,4.6,8.1,11.6,4,0,"roboczy","Al. Jerozolimskie - suma",829
"48",2017-10-10,2017-10-09,2017-10-01,5.7,8.3,11.6,3.3,0,"roboczy","Al. Jerozolimskie - suma",801
"49",2017-10-11,2017-10-09,2017-10-01,5.5,12.8,14.6,1.9,0,"roboczy","Al. Jerozolimskie - suma",588
"50",2017-10-12,2017-10-09,2017-10-01,12.8,13.8,17.6,0,0,"roboczy","Al. Jerozolimskie - suma",996
"51",2017-10-13,2017-10-09,2017-10-01,9.8,11,14,0,0,"roboczy","Al. Jerozolimskie - suma",931
"52",2017-10-14,2017-10-09,2017-10-01,6.6,12.3,16.2,0,0,"weekend","Al. Jerozolimskie - suma",396
"53",2017-10-15,2017-10-09,2017-10-01,14.3,14.9,17.3,0,0,"weekend","Al. Jerozolimskie - suma",394
