"","Data","Miejsce","Liczba_rowerow"
"1","2019-04-01","Banacha/Żwirki i Wigury (display)",1207
"2","2019-04-02","Banacha/Żwirki i Wigury (display)",2401
"3","2019-04-03","Banacha/Żwirki i Wigury (display)",2
"4","2019-04-04","Banacha/Żwirki i Wigury (display)",219
"5","2019-04-05","Banacha/Żwirki i Wigury (display)",827
"6","2019-04-06","Banacha/Żwirki i Wigury (display)",2135
"7","2019-04-07","Banacha/Żwirki i Wigury (display)",2487
"8","2019-04-08","Banacha/Żwirki i Wigury (display)",3493
"9","2019-04-09","Banacha/Żwirki i Wigury (display)",2735
"10","2019-04-10","Banacha/Żwirki i Wigury (display)",2297
"11","2019-04-11","Banacha/Żwirki i Wigury (display)",2136
"12","2019-04-12","Banacha/Żwirki i Wigury (display)",1947
"13","2019-04-13","Banacha/Żwirki i Wigury (display)",494
"14","2019-04-14","Banacha/Żwirki i Wigury (display)",1484
"15","2019-04-15","Banacha/Żwirki i Wigury (display)",3
"16","2019-04-16","Banacha/Żwirki i Wigury (display)",96
"17","2019-04-17","Banacha/Żwirki i Wigury (display)",1055
"18","2019-04-18","Banacha/Żwirki i Wigury (display)",2784
"19","2019-04-19","Banacha/Żwirki i Wigury (display)",2647
"20","2019-04-20","Banacha/Żwirki i Wigury (display)",1280
"21","2019-04-21","Banacha/Żwirki i Wigury (display)",573
"22","2019-04-22","Banacha/Żwirki i Wigury (display)",1039
"23","2019-04-23","Banacha/Żwirki i Wigury (display)",2426
"24","2019-04-24","Banacha/Żwirki i Wigury (display)",2997
"25","2019-04-25","Banacha/Żwirki i Wigury (display)",3759
"26","2019-04-26","Banacha/Żwirki i Wigury (display)",4301
"27","2019-04-27","Banacha/Żwirki i Wigury (display)",1482
"28","2019-04-28","Banacha/Żwirki i Wigury (display)",909
"29","2019-04-29","Banacha/Żwirki i Wigury (display)",2580
"30","2019-04-30","Banacha/Żwirki i Wigury (display)",2949
"31","2019-05-01","Banacha/Żwirki i Wigury (display)",2551
"32","2019-05-02","Banacha/Żwirki i Wigury (display)",1102
"33","2019-05-03","Banacha/Żwirki i Wigury (display)",1069
"34","2019-05-04","Banacha/Żwirki i Wigury (display)",1285
"35","2019-05-05","Banacha/Żwirki i Wigury (display)",888
"36","2019-05-06","Banacha/Żwirki i Wigury (display)",2706
"37","2019-05-07","Banacha/Żwirki i Wigury (display)",3179
"38","2019-05-08","Banacha/Żwirki i Wigury (display)",3490
"39","2019-05-09","Banacha/Żwirki i Wigury (display)",3226
"40","2019-05-10","Banacha/Żwirki i Wigury (display)",2316
"41","2019-05-11","Banacha/Żwirki i Wigury (display)",2328
"42","2019-05-12","Banacha/Żwirki i Wigury (display)",1876
"43","2019-05-13","Banacha/Żwirki i Wigury (display)",1982
"44","2019-05-14","Banacha/Żwirki i Wigury (display)",1587
"45","2019-05-15","Banacha/Żwirki i Wigury (display)",1420
"46","2019-05-16","Banacha/Żwirki i Wigury (display)",1760
